A name,A class name,A start line,A end line, A method start line , A method end line, B name,B class name,B start line,B end line, B method start line , B method end line,similarity
loadClass - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1062,1072,1062,1072,loadClass - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1072,1083,1072,1083,0.968507,
getJarManifest,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1173,1182,1173,1182,getCertificates,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1193,1203,1193,1203,0.815984,
getJarManifest,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1173,1182,1173,1182,cleanup,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1388,1397,1388,1397,0.745289,
getJarManifest,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1173,1182,1173,1182,createUnifiedSources,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\AbstractJarSignerTask.java,374,386,374,386,0.597389,
getCertificates,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1193,1203,1193,1203,cleanup,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1388,1397,1388,1397,0.656693,
getCertificates,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1193,1203,1193,1203,createUnifiedSources,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\AbstractJarSignerTask.java,374,386,374,386,0.525932,
getCertificates,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1193,1203,1193,1203,writeJar,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\ejb\WeblogicDeploymentTool.java,612,626,612,626,0.524342,
getCertificates,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1193,1203,1193,1203,writeJar - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\ejb\WebsphereDeploymentTool.java,587,602,587,602,0.529891,
definePackage - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1236,1258,1236,1258,getCompatibilityWith,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\extension\Extension.java,419,457,419,457,0.570748,
definePackage - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1236,1258,1236,1258,toString,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\extension\Specification.java,373,400,373,400,0.661332,
