A name,A class name,A start line,A end line, A method start line , A method end line, B name,B class name,B start line,B end line, B method start line , B method end line,similarity
hijackId - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\AugmentReference.java,63,72,63,72,restoreWrapperId,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\AugmentReference.java,87,95,87,95,0.913139,
checkClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Available.java,448,485,448,485,loadClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\condition\HasMethod.java,106,141,106,141,0.905897,
execute,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Basename.java,89,98,89,98,execute,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Dirname.java,72,80,72,80,0.962651,
add,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Checksum.java,285,291,285,291,add,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\condition\ResourcesMatch.java,55,61,55,61,0.983192,
setupJavacCommandlineSwitches - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\compilers\DefaultCompilerAdapter.java,268,277,268,277,setupJavacCommandlineSwitches - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\compilers\DefaultCompilerAdapter.java,279,288,279,288,0.961538,
setupJavacCommandlineSwitches - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\compilers\DefaultCompilerAdapter.java,349,356,349,356,execute - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\compilers\Jikes.java,110,117,110,117,0.991489,
assumeJava9Plus,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\compilers\DefaultCompilerAdapter.java,718,726,718,726,assumeJavaXY,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\compilers\DefaultCompilerAdapter.java,732,738,732,738,0.982580,
setupGCJCommand,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\compilers\Gcj.java,57,132,57,132,execute,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\compilers\Jvc.java,41,116,41,116,0.923124,
getInputStream - else - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Concat.java,404,410,404,410,getInputStream - else - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Concat.java,412,417,412,417,0.901670,
eval,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\condition\AntVersion.java,61,72,61,72,eval,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\condition\JavaVersion.java,38,49,38,49,0.956365,
validate,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\condition\AntVersion.java,74,100,74,100,validate,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\condition\JavaVersion.java,51,77,51,77,1.000000,
validate,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\condition\HasFreeSpace.java,62,69,62,69,validate,E:\apach_ant\20181106\ant\src\tutorial\tasks-filesets-properties\02-fileset\src\Find.java,45,49,45,49,0.907393,
validate,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\condition\HasFreeSpace.java,62,69,62,69,validate,E:\apach_ant\20181106\ant\src\tutorial\tasks-filesets-properties\03-paths\src\Find.java,43,47,43,47,0.907393,
validate,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\condition\HasFreeSpace.java,62,69,62,69,validate,E:\apach_ant\20181106\ant\src\tutorial\tasks-filesets-properties\04-lists\src\Find.java,56,60,56,60,0.907393,
validate,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\condition\HasFreeSpace.java,62,69,62,69,validate,E:\apach_ant\20181106\ant\src\tutorial\tasks-filesets-properties\final\src\Find.java,58,62,58,62,0.907393,
setPattern,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\condition\IsLastModified.java,70,81,70,81,setPattern,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Touch.java,150,161,150,161,0.993958,
getMillis,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\condition\IsLastModified.java,126,150,126,150,checkConfiguration - if - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Touch.java,230,255,230,255,0.941019,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Copy.java,359,366,359,366,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\ExecuteOn.java,282,289,282,289,1.000000,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Copy.java,359,366,359,366,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Expand.java,439,446,439,446,0.965307,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Copy.java,359,366,359,366,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Get.java,511,518,511,518,1.000000,
